This is the collection of GM vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2015 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2009 Chevrolet Suburban B Piel DVD	8	5.3	automático	gasolina premium	5
2016 Buick Encore CX N Leatherette	4	1.4	automático	gasolina	5
2018 Chevrolet Silverado 1500 LS Cab Reg F	6	4.3	automático	gasolina	2
2016 Chevrolet Sonic LT D TM	4	1.6	manual	gasolina	4
2011 Chevrolet Captiva Sport LT Paq. C	6	3.0	automático	gasolina	5
2011 Chevrolet Cruze 4 ptas C	4	1.8	automático	gasolina	4
2009 Chevrolet Suburban 5.3L C PIEL DVD	8	5.3	automático	gasolina premium	5
2018 Chevrolet Cruze Premier Turbo D	4	1.4	automático	gasolina premium	4
2009 Chevrolet Captiva Sport LS Paq. A	4	2.4	automático	gasolina premium	5
2006 Chevrolet Malibu 4 ptas A	4	2.2	automático	gasolina premium	4
2008 Cadillac CTS Premium B	6	3.6	automático	gasolina premium	4
2014 Chevrolet Aveo A LS Manual	4	1.6	manual	gasolina	4
2015 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2016 Buick Encore CX N Leatherette	4	1.4	automático	gasolina	5
2012 Chevrolet Spark 5 ptas A	4	1.2	manual	gasolina	5
2013 Chevrolet Colorado Doble Cabina 4x4 TA	6	3.6	automático	gasolina	4
2014 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2017 Chevrolet Aveo LT W MT	4	1.6	manual	gasolina	4
2004 Cadillac CTS A	6	3.6	automático	gasolina premium	4
2012 Chevrolet Camaro 6.2 2SS Convertible AT	8	6.2	automático	gasolina premium	2
2014 Cadillac CTS Coupe C	6	3.6	automático	gasolina premium	2
2009 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2007 Chevrolet Uplander Extendida C LT Piel	6	3.9	automático	gasolina premium	5
2014 Chevrolet Captiva Sport LS Paq. A	4	2.4	automático	gasolina	5
2013 Chevrolet Cruze 4 ptas M	4	1.8	manual	gasolina	4
2008 Chevrolet Equinox LT Piel C	6	3.4	automático	gasolina premium	5
2015 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2016 Chevrolet Cruze LS M MT	4	1.8	manual	gasolina	4
2008 Chevrolet Tahoe D Piel Quemacocos DVD	8	5.3	automático	gasolina premium	5
2015 Chevrolet Cruze 1.4 Turbo G AT	4	1.4	automático	gasolina	4
2017 Chevrolet Sonic Premier F TA	4	1.6	automático	gasolina	4
2016 GMC Sierra 4x4 All Terrain Crew Cab D	8	5.3	automático	gasolina	4
2015 Chevrolet Aveo B LT, Manual con A/A, alarma, radio, Blu	4	1.6	manual	gasolina	4
2013 Buick Verano 2.0 1SC	4	2.0	automático	gasolina premium	4
2016 Chevrolet Aveo LT Paq. B 4 ptas.	4	1.6	manual	gasolina	4
2018 Chevrolet Beat LT B TM	4	1.2	manual	gasolina	5
2008 Chevrolet Tahoe D Piel Quemacocos DVD	8	5.3	automático	gasolina premium	5
2015 Chevrolet Aveo M LS, Manual con A/A, sin radio	4	1.6	manual	gasolina	4
2012 Chevrolet Camaro 6.2 2SS Convertible AT	8	6.2	automático	gasolina premium	2
2014 GMC Acadia Denali E	6	3.6	automático	gasolina premium	5
2008 Cadillac CTS Premium B	6	3.6	automático	gasolina premium	4
2007 PONTIAC Montana SV6 Extendida Piel/DVD E	6	3.9	automático	gasolina premium	5
2015 Chevrolet Cheyenne 2500 Cab Reg 4X4 H	8	5.3	automático	gasolina	2
2017 Chevrolet Cruze Premier Turbo D	4	1.4	automático	gasolina premium	4
2015 Chevrolet Aveo J LS, Automático con A/A, con radio	4	1.6	automático	gasolina	4
2014 GMC Acadia Denali E	6	3.6	automático	gasolina premium	5
2014 Buick Enclave CXL AWD D	6	3.6	automático	gasolina premium	5
2014 Chevrolet Captiva Sport LS Paq. A	4	2.4	automático	gasolina	5
2016 Cadillac CTS Premium C	6	3.6	automático	gasolina premium	4
2012 Chevrolet Aveo MT B	4	1.6	manual	gasolina	4
2015 Buick Regal 2.0 C Premium Turbo GS 1SX	4	2.0	automático	gasolina premium	4
2015 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2013 Chevrolet Cheyenne 2500 Cab Reg 4X4 P	8	5.3	automático	gasolina	2
2012 Chevrolet Tornado Pick-up A	4	1.8	manual	gasolina	2
2015 Chevrolet Colorado Doble Cabina 4x2 TA Q	6	3.6	automático	gasolina	4
2010 Chevrolet Camaro 6.2 2SS AT	8	6.2	automático	gasolina premium	2
2017 Chevrolet Spark LTZ C TM	4	1.4	manual	gasolina	5
2016 Chevrolet Equinox LTZ F	4	2.4	automático	gasolina	5
2011 GMC Terrain Piel C	6	3.0	automático	gasolina premium	5
2007 GMC Sierra 4x4 Crew Cab B	8	5.3	automático	gasolina premium	4
2013 Chevrolet Tornado TM C	4	1.8	manual	gasolina	2
2016 Chevrolet Aveo LS M MT	4	1.6	manual	gasolina	4
2015 Chevrolet Corvette 6.2 D Z51 Stingray Coupe TA	8	6.2	automático	gasolina premium	3
2007 GMC Acadia B Piel	6	3.6	automático	gasolina premium	5
2013 Chevrolet Cruze 4 ptas C	4	1.8	automático	gasolina	4
2008 Pontiac Torrent LT Piel, Quemacocos y AWD	6	3.4	automático	gasolina premium	5
2009 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2006 Chevrolet Chevy 3 ptas Comfort C	4	1.6	manual	gasolina premium	3
2016 Buick Encore CX N Leatherette	4	1.4	automático	gasolina	5
2015 Chevrolet Silverado 2500 2500 Cab Extendida 5.3L A	8	5.3	automático	gasolina	4
2016 GMC Acadia Denali E	6	3.6	automático	gasolina premium	5
2014 Buick Encore 1SL Premium	4	1.4	automático	gasolina	5
2009 Chevrolet Malibu 4 ptas B	4	2.4	automático	gasolina premium	4
2014 Cadillac Escalade ESV AWD Platinum P	8	6.2	automático	gasolina premium	5
2011 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2016 Chevrolet Spark Classic LTZ C TM	4	1.2	manual	gasolina	5
2014 Chevrolet Cruze 1.4 Turbo G	4	1.4	automático	gasolina	4
2017 GMC Acadia Denali E AWD	6	3.6	automático	gasolina premium	5
2015 Chevrolet Spark LTZ C TM	4	1.2	manual	gasolina	5
2017 Chevrolet Aveo LTZ E AT	4	1.6	automático	gasolina	4
2007 Chevrolet Optra AT AC A	4	2	automático	gasolina premium	4
1998 Pontiac Firebird TRANS AM AT	8	5.7	automático	gasolina	3
2016 Chevrolet Spark Classic LT B TM	4	1.2	manual	gasolina	5
2011 Chevrolet Cruze 4 ptas M	4	1.8	manual	gasolina	4
2014 Chevrolet Matiz A	4	1.0	manual	gasolina	5
2015 Chevrolet Tornado LT Paq. C	4	1.8	manual	gasolina	2
2013 Chevrolet Corvette Convertible 60 TA	8	6.2	automático	gasolina premium	2
2008 Chevrolet Colorado Doble Cabina A	4	2.9	automático	gasolina premium	4
2015 Chevrolet Matiz B Radio y AA	4	1.0	manual	gasolina	5
2015 Chevrolet Tahoe A	8	5.3	automático	gasolina	5
2012 Chevrolet Cruze 4 ptas M	4	1.8	manual	gasolina	4
1996 Chevrolet S-10 CORTA	4	2.2	manual	gasolina	2
2009 Chevrolet Captiva Sport B	4	2.4	automático	gasolina premium	5
2014 Chevrolet Malibu 2.5 C LT TA	4	2.5	automático	gasolina premium	4
2017 Chevrolet Trax Premier C	4	1.8	automático	gasolina	5
2015 Chevrolet Aveo M LS, Manual con A/A, sin radio	4	1.6	manual	gasolina	4
2012 Chevrolet Cruze 4 ptas F	4	1.8	automático	gasolina	4
2018 Chevrolet Beat LS A TM	4	1.2	manual	gasolina	4
2015 Chevrolet Matiz B Radio y AA	4	1.0	manual	gasolina	5
2011 Chevrolet Suburban 5.3L B PIEL DVD	8	5.3	automático	gasolina	5
2012 Chevrolet Aveo AT C	4	1.6	automático	gasolina	4
2014 GMC Terrain Denali E	6	3.6	automático	gasolina premium	5
2007 Chevrolet Uplander Regular V Tela	6	3.9	automático	gasolina premium	5
2014 Chevrolet Camaro 3.6 LT AT A	6	3.6	automático	gasolina premium	2
2005 Pontiac G4 Basico Tela D	4	2.2	manual	gasolina premium	4
2009 Chevrolet Optra AT AC A	4	2.0	automático	gasolina premium	4
2011 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2017 Chevrolet Aveo LT F MT	4	1.6	manual	gasolina	4
2016 Chevrolet Aveo LS J AT	4	1.6	automático	gasolina	4
2016 Chevrolet Aveo LTZ D MT	4	1.6	manual	gasolina	4
2014 Chevrolet Captiva Sport LS Paq. A	4	2.4	automático	gasolina	5
2012 Chevrolet Colorado Doble Cabina 4X4 B	5	3.7	automático	gasolina	4
2016 Chevrolet Corvette 6.2 D Z51 Stingray Coupe TA	8	6.2	automático	gasolina premium	3
2017 Chevrolet Cruze LS Turbo A	4	1.4	manual	gasolina premium	4
2007 Chevrolet Optra AT AC A	4	2	automático	gasolina premium	4
2016 Chevrolet Spark LT B TM	4	1.4	manual	gasolina	5
2013 Chevrolet Suburban G	8	6.0	automático	gasolina	5
2016 Chevrolet Trax LTZ C	4	1.8	automático	gasolina	5
2017 Chevrolet Trax LT B	4	1.8	automático	gasolina	5
2009 GMC Acadia A Piel	6	3.6	automático	gasolina premium	5
2016 GMC Sierra Denali E AWD	8	6.2	automático	gasolina premium	4
2012 GMC Terrain Piel C	6	3.0	automático	gasolina premium	5
2015 GMC Terrain Denali E	6	3.6	automático	gasolina premium	5
2014 Buick Enclave CXL AWD D	6	3.6	automático	gasolina premium	5
2013 Cadillac ATS D	4	2.0	automático	gasolina premium	4
2017 Chevrolet Aveo LT W MT	4	1.6	manual	gasolina	4
2012 Chevrolet Chevy 3 ptas Cargo R	4	1.6	manual	gasolina	3
2010 Chevrolet Colorado Doble Cabina 4X4 B	5	3.7	automático	gasolina premium	4
2009 Chevrolet Malibu 4 ptas C	4	2.4	automático	gasolina premium	4
2008 Chevrolet Silverado 2500 2500 Cab Reg 4.8L A	8	4.8	manual	gasolina premium	2
2015 Chevrolet Spark LT B TM	4	1.2	manual	gasolina	5
2016 Chevrolet Spark LT E TM HOT	4	1.4	manual	gasolina	5
2008 Chevrolet Suburban C Piel DVD	8	5.3	automático	gasolina premium	5
2016 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2016 GMC Sierra Denali E AWD	8	6.2	automático	gasolina premium	4
2015 GMC Sierra Denali AWD E	8	6.2	automático	gasolina premium	4
2007 Hummer H3 SUV B ADVENTURE	5	3.7	automático	gasolina premium	5
2008 Hummer H3 SUV D Alpha	8	5.3	automático	gasolina premium	5
