This is the collection of BMW vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2002 BMW X5 3.0i AT Top Line	6	3	automático	gasolina	5
2002 BMW Series 5 530iA	6	3	automático	gasolina	4
2002 BMW Series 3 320iA Fórmula 1	6	2.2	automático	gasolina	4
2002 BMW Series 3 330i Formula 1	6	3	manual	gasolina	4
2002 BMW X5 3.0i AT Lujo	6	3	automático	gasolina	5
2002 BMW Series 5 540iA	8	4.4	automático	gasolina	4
2002 BMW X5 3.0i MT Top Line	6	3	manual	gasolina	5
2002 BMW Series 3 330i Formula 1	6	3	manual	gasolina	4
2002 BMW X5 3.0i AT Lujo	6	3	automático	gasolina	5
2002 BMW X5 3.0i AT Lujo	6	3	automático	gasolina	5
2002 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW Series 3 325i Lujo	6	2.5	manual	gasolina	4
2003 BMW X5 3.0i AT Top Line	6	3	automático	gasolina	5
2003 BMW Z4 2.5I	6	2.5	manual	gasolina premium	2
2003 BMW X5 4.4i AT Lujo	8	4.4	automático	gasolina	5
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW Series 3 M3	6	3.2	manual	gasolina	2
2003 BMW Series 3 330i	6	3	manual	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW Series 5 540iA	8	4.4	automático	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2003 BMW Series 3 330i	6	3	manual	gasolina	4
2003 BMW Series 3 325iA Lujo	6	2.5	automático	gasolina	4
2003 BMW Series 5 525iA	6	2.5	automático	gasolina	4
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW Series 3 325i Lujo	6	2.5	manual	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
BMW Serie 3 2003	4		Automatica	Gasolina	
BMW Serie 3 2003	6		Secuencial	Gasolina	
BMW Serie 3 2003	6		Automatica	Gasolina	
BMW Serie 5 2003	6		S-Tronic	Gasolina	
BMW Serie 3 2003			Automatica	Gasolina	
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW X5 3.0i AT Top Line	6	3	automático	gasolina	5
2003 BMW Z4 2.5IA	6	2.5	automático	gasolina premium	2
2003 BMW Series 3 325Ci	6	2.5	manual	gasolina	2
