This is the collection of Ford vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
1999 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Escort Wagon 1999	4		Automatica	Gasolina	
1999 Ford Windstar LX BASE	6	3.8	automático	gasolina	4
1999 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Mystique 1999	6		Automatica	Gasolina	
FORD Mercury 1999	8		Automatica	Gasolina	
1999 Ford F-250 LOBO S.CAB 4X4	8	5.4	automático	gasolina	4
1999 Ford Mustang BASE MT	8	4.6	automático	gasolina	2
1999 Ford Explorer EDDIE BAUER V6 4X4	6	4	automático	gasolina	5
1999 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1999 Ford Explorer XLT V6 4X2	6	4	automático	gasolina	5
1999 Ford Explorer EDDIE BAUER V6 4X4	6	4	automático	gasolina	5
FORD F-600 1999			Manual	Gasolina	
1999 Ford F-250 XL AT	8	4.6	automático	gasolina	2
1999 Ford Contour BASE I4	4	2	manual	gasolina	4
1999 Ford F-350 XLT	8	5.4	manual	gasolina	2
1999 Ford Econoline Van E150	6	4.2	automático	gasolina	5
1999 Ford F-100 Ranger 2DR. S.CAB XL I4 MT	4	2.5	manual	gasolina	2
1999 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1999 Ford F-150 AUSTERA	6	4.2	manual	gasolina	2
1999 Ford F-100 Ranger 2DR. S.CAB XL I4 MT	4	2.5	manual	gasolina	2
1999 Ford F-250 XL	8	4.6	manual	gasolina	2
1999 Ford F-150 XL AT	6	4.2	automático	gasolina	2
FORD Lobo 1999			Automatica	Gasolina	
1999 Ford F-250 LOBO	8	4.6	automático	gasolina	2
1999 Ford F-250 LOBO	8	4.6	automático	gasolina	2
1999 Ford F-100 Ranger 2DR. S.CAB XL I4 MT	4	2.5	manual	gasolina	2
1999 Ford Explorer EDDIE BAUER V6 4X4	6	4	automático	gasolina	5
1999 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Lighting 1999			Automatica	Gasolina	
1999 Ford Explorer EDDIE BAUER V6 4X4	6	4	automático	gasolina	5
1999 Ford F-250 LOBO	8	4.6	automático	gasolina	2
1999 Ford F-100 Ranger 2DR. S.CAB XL I4 MT	4	2.5	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Econoline Van E350 S. CHASSIS	8	5.4	automático	gasolina	0
2000 Ford Fiesta BASE 1.3L	4	1.3	manual	gasolina	3
2000 Ford Expedition (O) XLT TELA	8	4.6	automático	gasolina	5
2000 Ford Contour POWER V6	6	2.5	automático	gasolina	4
2000 Ford Mustang EQUIPADO VIP AT	8	4.6	automático	gasolina	2
2000 Ford Sable (O) LS BASE	6	3	automático	gasolina	4
2000 Ford Windstar LX BASE	6	3.8	automático	gasolina	4
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2000 Ford Focus SE WAGON	4	2	automático	gasolina	5
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Taurus 2000	6		Automatica	Gasolina	
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Sable 2000	6		Automatica	Gasolina	
2000 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2000 Ford Sable LS PREMIUM	6	3	automático	gasolina	4
2000 Ford Explorer EDDIE BAUER V8 4X2	8	5	automático	gasolina	5
2000 Ford F-250 XLT	8	4.6	manual	gasolina	2
2000 Ford Mustang EQUIPADO VIP AT	8	4.6	automático	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford F-150 XL	6	4.2	manual	gasolina	2
2000 Ford Focus LX AT	4	2	automático	gasolina	4
2000 Ford Econoline Van E150	6	4.2	automático	gasolina	5
2000 Ford F-250 LOBO HARLEY DAVIDSON	8	5.4	automático	gasolina	4
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Focus LX AT	4	2	automático	gasolina	4
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2000 Ford Explorer EDDIE BAUER V8 4X2	8	5	automático	gasolina	5
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Windstar LX PLUS 5 DOOR	6	3.8	automático	gasolina	5
2000 Ford Mustang (O) EQUIPADO VIP AT	8	4.6	automático	gasolina	2
2000 Ford Explorer (O) LIMITED	8	5	automático	gasolina	5
2000 Ford F-150 XL	6	4.2	manual	gasolina	2
2000 Ford F-250 LOBO HARLEY DAVIDSON	8	5.4	automático	gasolina	4
2000 Ford F-250 LOBO HARLEY DAVIDSON	8	5.4	automático	gasolina	4
2000 Ford Focus ZX3 AT	4	2	automático	gasolina	3
2000 Ford F-150 XL	6	4.2	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford F-250 LOBO HARLEY DAVIDSON	8	5.4	automático	gasolina	4
FORD Sable 2000	6		Automatica	Gasolina	
2000 Ford F-250 LOBO HARLEY DAVIDSON	8	5.4	automático	gasolina	4
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Mustang BASE MT	8	4.6	manual	gasolina	2
2000 Ford Mustang (O) EQUIPADO VIP AT	8	4.6	automático	gasolina	2
2001 Ford Focus SE WAGON	4	2	automático	gasolina	5
2001 Ford Courier L	4	1.6	manual	gasolina	2
2001 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2001 FORD MUSTANG BASE MT	8	4.6	manual	gasolina	2
2001 Ford Explorer Sport 2001	6	4	automático	gasolina	3
2001 Ford Explorer Sport 2001	6	4	automático	gasolina	3
2001 Ford Explorer Sport 2001	6	4	automático	gasolina	3
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 FORD MUSTANG BASE MT	8	4.6	manual	gasolina	2
2001 Ford Econoline Van E150	6	4.2	automático	gasolina	5
2001 Ford Explorer Sport 2001	6	4	automático	gasolina	3
2001 FORD MUSTANG BASE MT	8	4.6	manual	gasolina	2
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Explorer Sport 2001	6	4	automático	gasolina	3
2001 Ford F-150 XL AT AC	6	4.2	automático	gasolina	2
2001 Ford Econoline Wagon XL 15PAS	8	5.4	automático	gasolina	5
2001 Ford Windstar LIMITED	6	3.8	automático	gasolina	5
2001 Ford Excursion LIMITED	10	6.8	automático	gasolina	5
2001 Ford Focus SE AT	4	2	automático	gasolina	4
2001 Ford F-150 XL AT AC	6	4.2	automático	gasolina	2
2001 Ford LOBO Doble Cabina,Harley Davidson	8	5.4	automático	gasolina	4
2001 Ford Escort ZX2 Coupe AT	4	2	automático	gasolina	2
2001 Ford Focus SE AT	4	2	automático	gasolina	4
2001 Ford F-100 Ranger 4DR. S.CAB SPORT AT	6	3	automático	gasolina	4
2001 FORD FIESTA IKON BASE AC	4	1.6	manual	gasolina	4
2001 Ford Focus LX AT	4	2	automático	gasolina	4
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2001 FORD MUSTANG BASE MT	8	4.6	manual	gasolina	2
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford Econoline Van E150	6	4.2	automático	gasolina	5
2001 Ford Sable LS PREMIUM	6	3	automático	gasolina	4
2001 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2001 Ford Econoline Wagon XL 15PAS	8	5.4	automático	gasolina	5
FORD Escape 2001			Automatica	Gasolina	
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 FORD MUSTANG BASE MT	8	4.6	manual	gasolina	2
2001 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
2001 Ford LOBO Lobo SuperCrew Harley Davidson	8	5.4	automático	gasolina	4
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford F-250 Lobo Crew Cab 4x4 Lariat	8	5.4	automático	gasolina	4
2001 Ford F-250 XLT AT	8	4.6	automático	gasolina	2
2001 Ford Escape XLT	6	3	automático	gasolina	5
2001 Ford Windstar LIMITED	6	3.8	automático	gasolina	5
FORD Explorer Sport 2001			Manual	Gasolina	
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford F-450 XL	10	6.8	manual	gasolina	2
2001 Ford Econoline Van E150	6	4.2	automático	gasolina	5
2001 Ford Focus LX AT	4	2	automático	gasolina	4
2001 Ford Escape XLT PIEL	6	3	automático	gasolina	5
2001 FORD FIESTA IKON BASE	4	1.6	manual	gasolina	4
2001 Ford Focus LX MT AC	4	2	manual	gasolina	4
2001 Ford Windstar LIMITED	6	3.8	automático	gasolina	5
FORD Explorer Sport 2001	6		Automatica	Gasolina	
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford Sable LS BASE	6	3	automático	gasolina	4
2001 Ford Mondeo Core ATX	4	2	automático	gasolina	4
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford F-100 Ranger 4DR. S.CAB SPORT AT	6	3	automático	gasolina	4
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford Escape XLS	6	3	automático	gasolina	5
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford F-250 Lobo Crew Cab 4x4 Lariat	8	5.4	automático	gasolina	4
2001 Ford Focus LX AT	4	2	automático	gasolina	4
FORD Explorer Sport Trac 2001	6		Automatica	Gasolina	
2001 Ford Escape XLS	6	3	automático	gasolina	5
FORD Lighting 2001	8		Automatica	Gasolina	
2001 Ford F-250 XL	8	4.6	manual	gasolina	2
2002 Ford Econoline Van,Clima	6	4.2	automático	gasolina	5
2002 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 FORD Mustang Base,Manual	8	4.6	manual	gasolina	2
2002 Ford Ranger Cab y Media,XLT	6	3	manual	gasolina	2
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Explorer XLS V6 4X2	6	4	automático	gasolina	5
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
FORD Lighting 2002	8		Automatica	Gasolina	
2002 Ford Ranger Cab Regular,XL Caja Larga	4	2.3	manual	gasolina	2
2002 FORD Mustang Base,Manual	8	4.6	manual	gasolina	2
