This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Escort 1.6 Lx Mt - $ 35,500.00	1996	Sedán	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634609372-ford-escort-16-lx-mt-_JM
Ford Windstar Lx Mt 1996 - $ 25,000.00	1996	Van	3.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634779584-ford-windstar-lx-mt-1996-_JM
Ford Windstar 1996 Automatica Excelentes Condiciones - $ 32,000.00	1996	Vagoneta	6 cil.	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633500813-ford-windstar-1996-automatica-excelentes-condiciones-_JM
Ford F-350 - $ 80,000.00	1996	Camión ligero	8 cil 5.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636551699-ford-f-350-_JM
Ford Windstar Lx Mt 1996 - $ 26,500.00	1996	Van	3.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634219104-ford-windstar-lx-mt-1996-_JM
Ford F-250 Diesel Motor Navistar 7.3, 8 Cilindros, Estandar - $ 75,000.00	1996	Pick-Up	Navistar 7.3 Ocho cilindros	Manual	Diesel	2	https://auto.mercadolibre.com.mx/MLM-637600589-ford-f-250-diesel-motor-navistar-73-8-cilindros-estandar-_JM
Ford Ranger Pickup Xl L4 Largo Mt - $ 55,000.00	1996	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636879440-ford-ranger-pickup-xl-l4-largo-mt-_JM
Ford Explorer 96&#39; - $ 40,000.00	1996	SUV		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634991672-ford-explorer-96-_JM
Ford Windstar Gl Base Mt 1996 - $ 25,000.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635557569-ford-windstar-gl-base-mt-1996-_JM
Ford Windstar 1996 - $ 32,000.00	1996			Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634684792-ford-windstar-1996-_JM
Ford Mustang 4.6 Gt Mt - $ 65,000.00	1996	Coupé	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635365871-ford-mustang-46-gt-mt-_JM
Ford Sable - $ 17,500.00	1996			Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635998388-ford-sable-_JM
Ford Grand Marquis Grand Marquis - $ 40,000.00	1996				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636237750-ford-grand-marquis-grand-marquis-_JM
Ford Explorer - $ 28,000.00	1996	SUV	4.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635057260-ford-explorer-_JM
Ford Explorer 4x4 - $ 40,000.00	1996	Todo terreno		Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637596187-ford-explorer-4x4-_JM
Ford Windstar Gl Plus Aa Tras. Ee Mt 1996 - $ 28,500.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635843528-ford-windstar-gl-plus-aa-tras-ee-mt-1996-_JM
Ford Explorer 4.6 Limited V8 4x2 Mt 1996 - $ 28,000.00	1996	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636893471-ford-explorer-46-limited-v8-4x2-mt-1996-_JM
Ford Ranger Pickup Xlt L4 5vel Caja Larga Mt 1996 - $ 49,000.00	1996	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637311879-ford-ranger-pickup-xlt-l4-5vel-caja-larga-mt-1996-_JM
Ford Windstar Miniban - $ 25,000.00	1996				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634788065-ford-windstar-miniban-_JM
Ford Ranger Pickup Xl L4 Mt 1996 - $ 42,000.00	1996	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634795566-ford-ranger-pickup-xl-l4-mt-1996-_JM
Ford Sable Interior Electrico - $ 30,000.00	1996				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637127666-ford-sable-interior-electrico-_JM
Ford Explorer 4x4, 6 Cilindros - $ 60,000.00	1996				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635068818-ford-explorer-4x4-6-cilindros-_JM
Ford Ranger Pickup Xlt V6 5vel Super Cab Mt 1996 - $ 16,000.00	1996	Pick-Up	4.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637298864-ford-ranger-pickup-xlt-v6-5vel-super-cab-mt-1996-_JM
Ford Mustang 4.0 Coupe V6 At 1996 - $ 15,000.00	1996	Coupé	4.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635960042-ford-mustang-40-coupe-v6-at-1996-_JM
Ford Mustang 4.6 Gt Equipado Piel Cd At - $ 45,000.00	1996	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633655875-ford-mustang-46-gt-equipado-piel-cd-at-_JM
Ford Explorer 4.0 Xlt V6 Tela 4x2 Mt 1996 - $ 25,000.00	1996	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633780658-ford-explorer-40-xlt-v6-tela-4x2-mt-1996-_JM
Ford F-350 - $ 98,000.00	1996				Diesel	4	https://auto.mercadolibre.com.mx/MLM-635209233-ford-f-350-_JM
Ford Mustang 6 Cil. 5 Vel - $ 22,000.00	1996	Coupé	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635279974-ford-mustang-6-cil-5-vel-_JM
Ford Windstar Gl Base Mt 1996 - $ 28,000.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634841590-ford-windstar-gl-base-mt-1996-_JM
Ford Windstar Gl Base Mt - $ 36,500.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637478261-ford-windstar-gl-base-mt-_JM
Ford Aerostar 1.8  - $ 23,500.00	1996				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-636140063-ford-aerostar-18-_JM
