This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Fiesta 1.6 Hb 5vel First Aa Mt 2007 - $ 55,000.00	2007	Hatchback	1.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636909990-ford-fiesta-16-hb-5vel-first-aa-mt-2007-_JM
Ford Mustang 4.6 Gt Equipado Convertible Mt 2007 - $ 180,000.00	2007	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636643866-ford-mustang-46-gt-equipado-convertible-mt-2007-_JM
Ford Lobo 2007 Harley Davison - $ 229,000.00	2007	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-630651768-ford-lobo-2007-harley-davison-_JM
Ford Explorer 2007 - $ 135,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-617014484-ford-explorer-2007-_JM
Ford Escape 3.0 Xlt Piel Limited At - $ 96,000.00	2007	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633524776-ford-escape-30-xlt-piel-limited-at-_JM
Ford Ka Version Con Clima St - $ 43,000.00	2007				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637412023-ford-ka-version-con-clima-st-_JM
Ford Ranger Pickup Xlt L4 Crew Cab 5vel Aa Mt - $ 109,000.00	2007	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-630454290-ford-ranger-pickup-xlt-l4-crew-cab-5vel-aa-mt-_JM
Ford Explorer Limited V8 4x2 Mt 2007 - $ 118,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-626500803-ford-explorer-limited-v8-4x2-mt-2007-_JM
Ford Escape Xls 2007 - $ 90,000.00	2007	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633415855-ford-escape-xls-2007-_JM
Ford Ecosport X - $ 89,500.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635155972-ford-ecosport-x-_JM
Ford F-450 Diésel - $ 75,000.00	2007				Híbrido	2	https://auto.mercadolibre.com.mx/MLM-636433759-ford-f-450-diesel-_JM
Ford Explorer 4.6 Xlt V8 3er. Seat 4x2 Mt 2007 - $ 128,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634841002-ford-explorer-46-xlt-v8-3er-seat-4x2-mt-2007-_JM
Ford F-350 Caja Seca  2007 - $ 199,000.00	2007			Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-629739034-ford-f-350-caja-seca-2007-_JM
Ford Fiesta Ikon 2007 First Sedan - $ 69,000.00	2007			Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-611622805-ford-fiesta-ikon-2007-first-sedan-_JM
Ford F-450 F-450 - $ 95,000.00	2007				Diesel	2	https://auto.mercadolibre.com.mx/MLM-636432298-ford-f-450-f-450-_JM
Ford Escape Mod. 2007 ,factura Original ,todo Pagado - $ 90,000.00	2007	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-623555553-ford-escape-mod-2007-factura-original-todo-pagado-_JM
Ford Mustang 4.6 Gt Equipado Convertible Mt - $ 140,000.00	2007	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636497048-ford-mustang-46-gt-equipado-convertible-mt-_JM
Ford Econoline 12 Pasajeros - $ 145,000.00	2007	Van		Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-630969861-ford-econoline-12-pasajeros-_JM
Ford Lobo 4.6 Xlt Cabina Doble 4x2 Mt 2007 - $ 132,000.00	2007	Pick-Up	4.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637517787-ford-lobo-46-xlt-cabina-doble-4x2-mt-2007-_JM
Ford F-250 4x4 Diesel 2007 - $ 255,000.00	2007				Diesel	4	https://auto.mercadolibre.com.mx/MLM-634502879-ford-f-250-4x4-diesel-2007-_JM
Ford Explorer Sport Trac - $ 145,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-619684136-ford-explorer-sport-trac-_JM
Ford Fiesta 1.6 First 5vel Aa Sedan Mt 2007 - $ 58,500.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634335904-ford-fiesta-16-first-5vel-aa-sedan-mt-2007-_JM
Ford Explorer 4.6 Eddie Bauer V8 4x2 Mt 292hp 2007 - $ 120,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634837072-ford-explorer-46-eddie-bauer-v8-4x2-mt-292hp-2007-_JM
Ford Fusion Sel Plus V6 - $ 70,000.00	2007	Sedán	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634897288-ford-fusion-sel-plus-v6-_JM
Ford Expedition 5.4 Eddie Bauer Piel 4x2 At - $ 165,000.00	2007	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-631233302-ford-expedition-54-eddie-bauer-piel-4x2-at-_JM
Ford Fiesta 1.6 First 5vel Aa Sedan Mt 2007 - $ 60,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634569596-ford-fiesta-16-first-5vel-aa-sedan-mt-2007-_JM
Ford Focus Sedan Ambiente At 2007 - $ 59,000.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635731966-ford-focus-sedan-ambiente-at-2007-_JM
Ford Escape 2.0 Xls Tela L4 At - $ 93,500.00	2007	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634857680-ford-escape-20-xls-tela-l4-at-_JM
Ford Escape 2.0 Xls Tela L4 At 2007 - $ 80,000.00	2007	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635666557-ford-escape-20-xls-tela-l4-at-2007-_JM
Ford Ranger 2.3 Limited Mt 2007 - $ 120,000.00	2007	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636056860-ford-ranger-23-limited-mt-2007-_JM
Ford Ikon 2007 Std - $ 45,800.00	2007	Sedán	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634503677-ford-ikon-2007-std-_JM
Ford Expedition 5.4 Eddie Bauer Max Qc 4x2 Mt - $ 159,000.00	2007	SUV	5.4	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634451653-ford-expedition-54-eddie-bauer-max-qc-4x2-mt-_JM
Ford Edge 3.5 Sel Plus V6 Piel Qc At 2007 - $ 100,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635979375-ford-edge-35-sel-plus-v6-piel-qc-at-2007-_JM
Ford Ecosport - $ 75,000.00	2007	SUV		Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636933758-ford-ecosport-_JM
Ford F-150 Cabina Y Media 4x4 - $ 105,000.00	2007				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-634024501-ford-f-150-cabina-y-media-4x4-_JM
Ford Ranger Pickup Xl L4 Crew Cab 5vel Aa Mt 2007 - $ 119,000.00	2007	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635572226-ford-ranger-pickup-xl-l4-crew-cab-5vel-aa-mt-2007-_JM
Ford Mustang Shelby - $ 160,000.00	2007				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-636733961-ford-mustang-shelby-_JM
Ford Explorer Sport Trac Xlt - $ 150,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635798150-ford-explorer-sport-trac-xlt-_JM
Ford Lobo 5.4 50 Años Super Cab 4x2 Mt 2007 - $ 205,000.00	2007	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635658984-ford-lobo-54-50-anos-super-cab-4x2-mt-2007-_JM
Ford Fiesta 1.6 First 5vel Sedan Mt - $ 51,500.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634529323-ford-fiesta-16-first-5vel-sedan-mt-_JM
Ford Explorer 4.6 Eddie Bauer V8 4x2 Mt 2007 - $ 108,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632897608-ford-explorer-46-eddie-bauer-v8-4x2-mt-2007-_JM
Ford Five Hundred 3.0 Sel Limited Piel Qc Cd Mp3 At 2007 - $ 82,500.00	2007	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634784252-ford-five-hundred-30-sel-limited-piel-qc-cd-mp3-at-2007-_JM
Ford Edge 3.5 Sel Plus V6 Piel Dvd At 2007 - $ 118,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636851972-ford-edge-35-sel-plus-v6-piel-dvd-at-2007-_JM
Ford Expedition 5.4 Limited Piel V8 4x2 At 2007 - $ 155,000.00	2007	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637436784-ford-expedition-54-limited-piel-v8-4x2-at-2007-_JM
Ford Ecosport Xl - $ 87,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637516421-ford-ecosport-xl-_JM
Ford Explorer Limited V8 4x2 Mt - $ 120,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633986608-ford-explorer-limited-v8-4x2-mt-_JM
Ford Fiesta 1.6 First 5vel Sedan Mt 2007 - $ 61,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636761587-ford-fiesta-16-first-5vel-sedan-mt-2007-_JM
Ford Ikon Austero - $ 43,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635185693-ford-ikon-austero-_JM
Ford Lobo 4.6 Stx Cabina Regular 4x2 At - $ 110,000.00	2007	Pick-Up	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636897114-ford-lobo-46-stx-cabina-regular-4x2-at-_JM
Ford Ikon 2007 - $ 26,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636204242-ford-ikon-2007-_JM
Ford Fiesta El Mas Equipado  - $ 59,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634049934-ford-fiesta-el-mas-equipado-_JM
Ford Mustang Automatico Cionverti - $ 140,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633593855-ford-mustang-automatico-cionverti-_JM
Ford Explorer Limited V8 4x2 Mt - $ 123,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635018219-ford-explorer-limited-v8-4x2-mt-_JM
Rines 20  Progresivos Para Ford Mustang Gt - $ 120,000.00	2007	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636554912-rines-20-progresivos-para-ford-mustang-gt-_JM
Ford Focus Sedan Sport At 2007 - $ 61,800.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633918964-ford-focus-sedan-sport-at-2007-_JM
Ford Ranger 2007 Pick Up !!!!! - $ 95,000.00	2007	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633872487-ford-ranger-2007-pick-up--_JM
Ford Ecosport 2007 Sport - $ 82,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636655553-ford-ecosport-2007-sport-_JM
Ford Lobo 5.4 Lariat Cabina Doble 4x2 Mt 2007 - $ 183,000.00	2007	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634452563-ford-lobo-54-lariat-cabina-doble-4x2-mt-2007-_JM
Ford Fusion 2.3 Se Mt - $ 70,000.00	2007	Sedán	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635125504-ford-fusion-23-se-mt-_JM
Ford F-350 - $ 300,000.00	2007				Diesel	4	https://auto.mercadolibre.com.mx/MLM-635957921-ford-f-350-_JM
Ford F-350 - $ 300,000.00	2007				Diesel	4	https://auto.mercadolibre.com.mx/MLM-635957921-ford-f-350-_JM
Ford Explorer 4.6 Eddie Bauer V8 4x2 Mt 2007 - $ 107,000.00	2007	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636776244-ford-explorer-46-eddie-bauer-v8-4x2-mt-2007-_JM
Ford Ecosport - $ 82,000.00	2007		2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636216650-ford-ecosport-_JM
Ford Focus Sa Xl Man A/c - $ 50,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635165853-ford-focus-sa-xl-man-ac-_JM
Ford Mustang Gt Tela, Automático - $ 120,000.00	2007	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633971202-ford-mustang-gt-tela-automatico-_JM
Ford Edge 3.5 Sel Plus V6 Piel Qc At 2007 - $ 120,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634922893-ford-edge-35-sel-plus-v6-piel-qc-at-2007-_JM
Ford Ecosport 2007 - $ 88,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635121975-ford-ecosport-2007-_JM
Ford Edge 3.5 Sel Plus V6 Piel Dvd At 2007 - $ 139,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636595862-ford-edge-35-sel-plus-v6-piel-dvd-at-2007-_JM
Ford Ecosport 2007 - $ 79,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637518775-ford-ecosport-2007-_JM
Ford Mustang 4.6 Gt Equipado Convertible Mt - $ 190,000.00	2007	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632002661-ford-mustang-46-gt-equipado-convertible-mt-_JM
Camioneta Ford Ecosport Xlt 2007 - $ 98,000.00	2007		2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636719701-camioneta-ford-ecosport-xlt-2007-_JM
Ford Edge 3.5 Sel Plus V6 Piel Dvd At - $ 115,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636786103-ford-edge-35-sel-plus-v6-piel-dvd-at-_JM
Ford Ecosport - $ 80,000.00	2007	Vagoneta		Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634662002-ford-ecosport-_JM
Ford Mustang 4.6 Gt Equipado Vip At - $ 175,000.00	2007	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635214660-ford-mustang-46-gt-equipado-vip-at-_JM
Ford Ecosport Ltz - $ 89,500.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637277254-ford-ecosport-ltz-_JM
Ford Edge 3.5 Sel Plus V6 Piel Dvd At 2007 - $ 135,900.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637017599-ford-edge-35-sel-plus-v6-piel-dvd-at-2007-_JM
Ford Fiesta 1.6 First 5vel Sedan Mt - $ 62,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636302863-ford-fiesta-16-first-5vel-sedan-mt-_JM
Ford Mustang Coupe De Luxe 4.0 - $ 120,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637062487-ford-mustang-coupe-de-luxe-40-_JM
Ford Explorer 4.0 Xlt V6 4x2 Mt - $ 130,000.00	2007	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634026200-ford-explorer-40-xlt-v6-4x2-mt-_JM
Ford Edge 3.5 Sel Plus V6 Piel Qc At 2007 - $ 110,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637400000-ford-edge-35-sel-plus-v6-piel-qc-at-2007-_JM
Ford Explorer Nacional 2007 - $ 105,000.00	2007	Pick-Up	4.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635696053-ford-explorer-nacional-2007-_JM
Ford Fusion Sel Base Premium V6 Mt 2007 - $ 85,000.00	2007	Sedán	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636950210-ford-fusion-sel-base-premium-v6-mt-2007-_JM
Ford Lobo 4.6 Stx Cabina Regular 4x2 At 2007 - $ 120,000.00	2007	Pick-Up	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635520004-ford-lobo-46-stx-cabina-regular-4x2-at-2007-_JM
Ford Explorer 4.0 Xlt V6 4x2 Mt - $ 110,000.00	2007	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634847149-ford-explorer-40-xlt-v6-4x2-mt-_JM
Ford Escape Xlt 2.3 Mexicana - $ 80,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635252091-ford-escape-xlt-23-mexicana-_JM
Ford Focus Se Aa Ee At - $ 63,000.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633627415-ford-focus-se-aa-ee-at-_JM
Ford Ranger Pickup Xl L4 5vel Aa Mt - $ 75,000.00	2007	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633969228-ford-ranger-pickup-xl-l4-5vel-aa-mt-_JM
Ford F-550 2007 - $ 250,000.00	2007				Diesel	2	https://auto.mercadolibre.com.mx/MLM-635247737-ford-f-550-2007-_JM
Ford Ka Standart Aa - $ 45,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635680985-ford-ka-standart-aa-_JM
Ford Focus Se 5vel Aa Ee Mt 2007 - $ 51,000.00	2007	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637461767-ford-focus-se-5vel-aa-ee-mt-2007-_JM
Ford Expedition 5.4 Limited Piel V8 4x2 At 2007 - U$S 6,500.00	2007	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635319968-ford-expedition-54-limited-piel-v8-4x2-at-2007-_JM
Se Vende Ford Focus - $ 45,000.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635619960-se-vende-ford-focus-_JM
Ford Lobo 5.4 Lariat Cabina Doble 4x2 Mt 2007 - $ 176,000.00	2007	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636633924-ford-lobo-54-lariat-cabina-doble-4x2-mt-2007-_JM
Ford Mustang - $ 135,000.00	2007	Coupé	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637287942-ford-mustang-_JM
Ford Fusion 2007 Excelente Estado - $ 63,000.00	2007	Sedán	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635264259-ford-fusion-2007-excelente-estado-_JM
Ford Ka Equipado - $ 44,000.00	2007				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637579083-ford-ka-equipado-_JM
Ford Explorer 4.0 Xlt V6 4x2 Mt 2007 - $ 110,000.00	2007	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634929278-ford-explorer-40-xlt-v6-4x2-mt-2007-_JM
Ford F-350 Xlt Reg Chasis Cab - $ 230,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636597373-ford-f-350-xlt-reg-chasis-cab-_JM
Ford Fiesta 1.6 First Hatchback Mt 2007 - $ 54,999.00	2007	Hatchback	1.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637297798-ford-fiesta-16-first-hatchback-mt-2007-_JM
Ford Focus Sedan Ambiente 5vel Mt 2007 - $ 63,500.00	2007	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636349029-ford-focus-sedan-ambiente-5vel-mt-2007-_JM
Ford Fiesta 1.6 First 5vel Aa Sedan Mt - $ 60,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634320283-ford-fiesta-16-first-5vel-aa-sedan-mt-_JM
Ford F-150 2007 - $ 75,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633527907-ford-f-150-2007-_JM
Ford Ecosport 2007 - $ 73,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635251782-ford-ecosport-2007-_JM
Ford Focus Se 5vel Aa Ee Mt 2007 - $ 65,000.00	2007	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635037674-ford-focus-se-5vel-aa-ee-mt-2007-_JM
Ford Fiesta 1.6 First 5vel Aa Sedan Mt 2007 - $ 63,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635578736-ford-fiesta-16-first-5vel-aa-sedan-mt-2007-_JM
Ford F-250 2007 - $ 255,000.00	2007	Pick-Up	powerstroke 6.0	Automática	Diesel	4	https://auto.mercadolibre.com.mx/MLM-634248925-ford-f-250-2007-_JM
Ford Edge 3.5 Sel Plus V6 Piel Qc At 2007 - $ 123,000.00	2007	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637048174-ford-edge-35-sel-plus-v6-piel-qc-at-2007-_JM
Ford Focus Lx Base 5vel Aa Mt - $ 60,000.00	2007	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633706859-ford-focus-lx-base-5vel-aa-mt-_JM
Ford Escape 2007 4 Cil 2.3 Xls Tela Aut - $ 75,000.00	2007	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637595385-ford-escape-2007-4-cil-23-xls-tela-aut-_JM
Ford Mustang 4.6 Gt Equipado Vip At 2007 - $ 135,000.00	2007	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637488722-ford-mustang-46-gt-equipado-vip-at-2007-_JM
Ford Ikon - $ 56,000.00	2007		1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635768731-ford-ikon-_JM
Ford Fusion Sel V6 Mt - $ 69,000.00	2007	Sedán	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633996395-ford-fusion-sel-v6-mt-_JM
Ford F-250 2007 - $ 78,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636552189-ford-f-250-2007-_JM
Ford Expedition 5.4 Eddie Bauer Piel 4x2 At 2007 - $ 150,000.00	2007	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636664886-ford-expedition-54-eddie-bauer-piel-4x2-at-2007-_JM
Ford Lobo Stx 2007 - $ 150,000.00	2007	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635533438-ford-lobo-stx-2007-_JM
Ford Focus Sedan Ambiente At 2007 - $ 63,000.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636458628-ford-focus-sedan-ambiente-at-2007-_JM
Ford Freestar 3.9 Minivan Lx Base At 2007 - $ 75,000.00	2007	Van	3.9	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633602328-ford-freestar-39-minivan-lx-base-at-2007-_JM
Ford Ecosport 2007 - $ 60,000.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637395080-ford-ecosport-2007-_JM
Ford Mustang V6 - $ 150,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636147708-ford-mustang-v6-_JM
Ford Freestar - $ 100,000.00	2007	SUV	4.2 l	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633717939-ford-freestar-_JM
Ford Fusion Se V6 At 2007 - $ 65,000.00	2007	Sedán	3.0	Automática	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-634205030-ford-fusion-se-v6-at-2007-_JM
Mustang 2007 - $ 110,000.00	2007		4.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634806356-mustang-2007-_JM
Ford Fiesta 1.6 First 5vel Aa Sedan Mt - $ 55,000.00	2007	Hatchback	1.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637268357-ford-fiesta-16-first-5vel-aa-sedan-mt-_JM
Ford Mustang 3.7 - $ 140,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636991794-ford-mustang-37-_JM
Ford Fiesta 1.6 Trend 5vel Aa Ee Sedan Comfort Mt 2007 - $ 56,500.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636749180-ford-fiesta-16-trend-5vel-aa-ee-sedan-comfort-mt-2007-_JM
Ford Fiesta 2007 1.6 First 5vel Sedan Mt - $ 47,000.00	2007	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635672476-ford-fiesta-2007-16-first-5vel-sedan-mt-_JM
Ford Mustang - $ 138,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636813888-ford-mustang-_JM
Ford Ranger Xl 2 Cre - $ 97,000.00	2007	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636658322-ford-ranger-xl-2-cre-_JM
Ford Ranger Pickup Xl L4 5vel Aa Mt 2007 - $ 120,000.00	2007	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635503047-ford-ranger-pickup-xl-l4-5vel-aa-mt-2007-_JM
Ford Focus Sedan Ambiente At - $ 55,000.00	2007	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634501704-ford-focus-sedan-ambiente-at-_JM
Ford F-350 Carga 3/2 Con Termo - $ 2,200,000.00	2007				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636970319-ford-f-350-carga-32-con-termo-_JM
Ford Fiesta 2007 - $ 53,000.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637411263-ford-fiesta-2007-_JM
Ford Explorer 4x4/ 8cld/  - $ 122,222.00	2007				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635411136-ford-explorer-4x4-8cld-_JM
Ford Fiesta - $ 49,500.00	2007				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636447302-ford-fiesta-_JM
Ford Mustang Hard Top Mt 2007 - $ 72,000.00	2007	Coupé	3.7	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637580852-ford-mustang-hard-top-mt-2007-_JM
Ford Fiesta (puertas Eléctricas) - $ 15,000.00	2007				Eléctrico	5	https://auto.mercadolibre.com.mx/MLM-634454527-ford-fiesta-puertas-electricas-_JM
Ford Expedition 5.4 Limited Piel 4x4 At 2007 - $ 160,000.00	2007	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635229718-ford-expedition-54-limited-piel-4x4-at-2007-_JM
Ford Five Hundred 3.0 Sel Limited Piel Qc Cd Mp3 At - $ 91,500.00	2007	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637517698-ford-five-hundred-30-sel-limited-piel-qc-cd-mp3-at-_JM
Ford Mustang 4.6 Gt Equipado Convertible Mt 2007 - $ 220,000.00	2007	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634423235-ford-mustang-46-gt-equipado-convertible-mt-2007-_JM
